Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.032409152565645784,77986.35180648614,13,0.0,1
Ether_type,0.00019707642510688643,120813.1917351415,47,0.0,0
LLC_dsap,0.0,,69,0.0,0
LLC_ssap,2.6050701133271476e-06,1.5999999999999999,62,0.0,0
LLC_ctrl,7.116104330044094e-06,279.99999999999994,59,0.0,0
EAPOL_version,5.2418380753268485e-05,4.57142857142857,55,0.0,0
EAPOL_type,3.939063828886299e-05,12.259701492537314,46,0.0,0
EAPOL_len,0.00011213107923905102,487.09305574961564,45,0.0,0
IP_version,0.00014442816977536637,1.50383631713555,52,0.0,0
IP_ihl,0.0002772180120841949,1.45140758873929,43,0.0,0
IP_tos,0.0006846047694151896,1732.6272771084334,40,0.0,0
IP_len,0.029524600091286768,80492.63330788622,11,0.0,1
IP_flags,0.002136368781265657,3.49670025914197,37,0.0,0
IP_Z,0.0,,64,0.0,0
IP_MF,0.0,,73,0.0,0
IP_id,0.0456278644573831,1089266.9606472258,8,0.0,1
IP_DF,0.0014286934837574616,7.233309090909116,32,0.0,0
IP_frag,0.0,,68,0.0,0
IP_ttl,0.05234797655812604,8171.43863819712,9,0.0,1
IP_proto,0.002952070906069592,257.3940749980503,31,0.0,0
IP_options,0.00015015446694044947,9.124137931034483,56,0.0,0
ICMP_type,0.005796411476963141,970.8981595092026,24,0.0,0
ICMP_code,2.111147859977334e-05,0.39999999999999997,63,0.0,0
ICMP_chksum,0.0068405247426878675,3988985.1201871224,25,0.0,0
ICMP_id,0.008114839523874505,1788137.0785697147,21,0.0,0
ICMP_seq,0.0021218339381682376,153.6,29,0.0,0
ICMP_ts_ori,0.0,,74,0.0,0
ICMP_ts_rx,0.0,,76,0.0,0
ICMP_ts_tx,0.0,,78,0.0,0
ICMP_ptr,0.0,,81,0.0,0
ICMP_reserved,0.0,,82,0.0,0
ICMP_length,0.0,,84,0.0,0
ICMP_nexthopmtu,0.0,,65,0.0,0
TCP_seq,0.05255862082046171,74254574050.2976,6,0.0,2
TCP_ack,0.026973916471425382,12944454599.025331,15,0.0,2
TCP_dataofs,0.04880011786649103,39.99383159378479,10,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.009159633581420898,1.0865973134027047,23,0.0,0
TCP_FIN,0.0009052870804147667,29.09405405405404,38,0.0,0
TCP_SYN,0.01426412252671635,213.31399116347578,20,0.0,1
TCP_RST,0.0012104053533966766,31.153846153846153,39,0.0,0
TCP_PSH,0.001897250102610519,14.764620938628152,33,0.0,0
TCP_ACK,0.008469329493927263,11.26932750136685,26,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.06868084742465744,14327195.676165458,2,0.0,1
TCP_chksum,0.028797591147602192,741639.4773834682,18,0.0,1
TCP_urgptr,0.0,,70,0.0,0
TCP_options,0.0031015733475225375,27.374407582938442,35,0.0,0
UDP_len,0.007356413690730824,23164.47242035358,28,0.0,0
UDP_chksum,0.009124078773935958,2408555.066930791,27,0.0,0
DHCP_options,0.00012010442082116006,19.03018867924528,42,0.0,0
BOOTP_op,6.066437374722016e-05,9.124137931034483,51,0.0,0
BOOTP_htype,1.2225702594973948e-05,7.296103896103894,54,0.0,0
BOOTP_hlen,4.285869887221594e-05,43.77662337662338,50,0.0,0
BOOTP_hops,0.0,,83,0.0,0
BOOTP_xid,0.000745894411881636,6434624121.566205,36,0.0,1
BOOTP_secs,0.0,1.3999999999999997,60,0.0,0
BOOTP_flags,7.295165038328679e-05,0.19941002949852507,44,0.0,0
BOOTP_sname,3.267457105900887e-05,7.296103896103894,53,0.0,0
BOOTP_file,6.783934924668608e-05,7.296103896103894,57,0.0,0
BOOTP_options,8.213489262892998e-05,7.296103896103894,48,0.0,0
DNS_length,0.0,,66,0.0,0
DNS_id,0.020279255139417373,5352255.099875678,19,0.0,1
DNS_qr,0.00014228056234887339,70.99999999999999,61,0.0,0
DNS_opcode,0.0,,71,0.0,0
DNS_aa,0.00018758416201586264,72.79999999999998,49,0.0,0
DNS_tc,0.0,,67,0.0,0
DNS_rd,0.0017930433892309862,3.2625482625482647,34,0.0,0
DNS_ra,0.0,,77,0.0,0
DNS_z,0.0,,85,0.0,0
DNS_ad,0.0,,72,0.0,0
DNS_cd,0.0,,79,0.0,0
DNS_rcode,0.0,,86,0.0,0
DNS_qdcount,0.0006249534756746352,70.43110102156636,41,0.0,0
DNS_ancount,0.00021883431809596507,353.4,58,0.0,0
DNS_nscount,1.9156582939851414e-05,198.6,80,0.0,0
DNS_arcount,0.0,2.7999999999999994,75,0.0,0
sport_class,0.03725816209608218,365.14634887410995,14,0.0,1
dport_class,0.047838712448159064,231.68503837827268,12,0.0,1
sport_bare,0.11364919421991675,2472012.8320212895,1,0.0,2
dport_bare,0.05812269788780146,4950935.028032955,5,0.0,1
TCP_sport,0.07338520202046724,831095.9590049,3,0.0,1
TCP_dport,0.06816496571044342,3938090.8656179095,7,0.0,1
UDP_sport,0.020184692312007767,2614153.0791476835,16,0.0,1
UDP_dport,0.004062203267620999,1215882.8515475846,30,0.0,0
payload_bytes,0.026805941834553357,93974.67256294138,17,0.0,1
entropy,0.03719609195676034,17.277592457539615,4,0.0,1
Protocol,0.016541901744040712,177.31553980682386,22,0.0,1
