Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.05668989936454247,4502.517798967474,6,0.0,1
Ether_type,0.0022475601073917023,28859.04939205102,32,0.0,0
LLC_dsap,0.0,,68,0.0,0
LLC_ssap,6.476622734675776e-05,2.1999999999999993,63,0.0,0
LLC_ctrl,4.773147776952472e-05,384.99999999999994,61,0.0,0
EAPOL_version,0.0004932374318363634,15.799999999999995,59,0.0,0
EAPOL_type,0.00020579603012923668,45.0,54,0.0,0
EAPOL_len,0.00017872704066172718,1627.3999999999996,50,0.0,0
IP_version,0.0011807973383767176,0.19801165581075736,38,0.0,0
IP_ihl,0.0012614363981453102,0.5239799228326355,34,0.0,0
IP_tos,0.00829153137178663,441.9479653102065,22,0.0,0
IP_len,0.04692306652228461,5553.77745299466,4,0.0,1
IP_flags,0.005059963059889955,0.7172306090577825,24,0.0,0
IP_Z,0.0,,65,0.0,0
IP_MF,0.0,,66,0.0,0
IP_id,0.07165051548202536,2333621.531135441,3,0.0,1
IP_DF,0.004301048113105022,3.0199450045829686,27,0.0,0
IP_frag,0.0,,67,0.0,0
IP_ttl,0.01436195766899676,6953.798022919338,20,0.0,1
IP_proto,0.003712849786190349,126.8074350744091,26,0.0,0
IP_options,0.0004697421443034655,12.938461538461539,57,0.0,0
ICMP_type,0.0005622477491865917,0.04444444444444444,51,0.0,0
ICMP_code,0.0012473798787307972,30.0,40,0.0,0
ICMP_chksum,0.0003613529204526224,33634.3614950246,48,0.0,0
ICMP_id,0.000165755396821017,75697.8,62,0.0,0
ICMP_seq,6.181054863270191e-06,3.6,70,0.0,0
ICMP_ts_ori,0.0,,81,0.0,0
ICMP_ts_rx,0.0,,83,0.0,0
ICMP_ts_tx,0.0,,80,0.0,0
ICMP_ptr,0.0,,69,0.0,0
ICMP_reserved,0.0,,71,0.0,0
ICMP_length,0.0,,74,0.0,0
ICMP_nexthopmtu,0.0,,77,0.0,0
TCP_seq,0.04991041791990138,31547090209.61647,13,0.0,2
TCP_ack,0.04690854982934713,24843611007.091133,11,0.0,2
TCP_dataofs,0.045644184295731464,593.0087477531456,8,0.0,1
TCP_reserved,0.0,,73,0.0,0
TCP_flags,0.014615729318343701,58.65258834862867,19,0.0,1
TCP_FIN,0.005229704542225235,97.39404466501244,28,0.0,0
TCP_SYN,0.00267297132672347,26.10744849445327,31,0.0,0
TCP_RST,0.0005074478289905576,13.254545454545454,47,0.0,0
TCP_PSH,0.0033528961136095443,51.35734265734267,29,0.0,0
TCP_ACK,0.004143475679124253,11.990527448869788,33,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.09263120096888819,587148.5890302912,2,0.0,1
TCP_chksum,0.04726332447845766,1008817.3387282905,9,0.0,1
TCP_urgptr,0.0,,76,0.0,0
TCP_options,0.0006751863944235904,15.113253012048212,45,0.0,0
UDP_len,0.013994996635011409,16302.763899019374,18,0.0,1
UDP_chksum,0.011026367313524655,1029299.1545122415,23,0.0,0
DHCP_options,0.0006323042676707963,0.7225433526011575,39,0.0,0
BOOTP_op,0.00038341981709093617,0.020689655172413793,53,0.0,0
BOOTP_htype,0.00021906114468319847,0.9890410958904103,55,0.0,0
BOOTP_hlen,0.00020840181301568498,5.934246575342465,52,0.0,0
BOOTP_hops,0.0,,78,0.0,0
BOOTP_xid,0.0006997178722061792,5073929023.735059,43,0.0,1
BOOTP_secs,1.4304259429224997e-05,3.3999999999999995,64,0.0,0
BOOTP_flags,0.00035467024720344366,0.05787401574803149,46,0.0,0
BOOTP_sname,0.00017835784609226445,0.9890410958904103,58,0.0,0
BOOTP_file,0.0002216510069638349,0.9890410958904103,49,0.0,0
BOOTP_options,0.00010517522631813719,0.9890410958904103,60,0.0,0
DNS_length,0.0,,79,0.0,0
DNS_id,0.0213923890383132,194305.05199285888,15,0.0,1
DNS_qr,0.0007180857806631109,23.246700507614193,42,0.0,0
DNS_opcode,0.0,,75,0.0,0
DNS_aa,0.0010080568140538948,17.905263157894737,41,0.0,0
DNS_tc,0.0,,72,0.0,0
DNS_rd,0.0015822882430836138,62.45565217391307,36,0.0,0
DNS_ra,0.0,,82,0.0,0
DNS_z,0.0,,85,0.0,0
DNS_ad,0.0,,84,0.0,0
DNS_cd,0.0,,87,0.0,0
DNS_rcode,0.0,,86,0.0,0
DNS_qdcount,0.0012928496322407324,13.616727272727273,44,0.0,0
DNS_ancount,0.0012285232882625488,206.44237288135585,37,0.0,0
DNS_nscount,0.00046683773356595646,140.39652706843714,56,0.0,0
DNS_arcount,0.0014132435212343586,40.96000000000001,35,0.0,0
sport_class,0.01370604960459187,13.598463029631532,21,0.0,1
dport_class,0.04302977475019081,95.78200134318335,10,0.0,1
sport_bare,0.032773458979462704,405298.5527163354,14,0.0,1
dport_bare,0.08855821400133429,610967.7461690899,1,0.0,2
TCP_sport,0.02669888322935186,183180.19012023904,16,0.0,1
TCP_dport,0.08272108677671847,1205579.4315585322,5,0.0,1
UDP_sport,0.010830067931791894,300601.27457080584,25,0.0,0
UDP_dport,0.0049727566514599355,838064.0885488281,30,0.0,0
payload_bytes,0.0393274947720936,8849.853738174721,12,0.0,1
entropy,0.04078043382722765,184.98381351488408,7,0.0,1
Protocol,0.026422446714547333,2.5058909417645157,17,0.0,1
