Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.05373656448211478,470080.0737090494,7,0.0,1
Ether_type,0.00038482877529674947,4791.125815221315,40,0.0,0
LLC_dsap,0.0,,68,0.0,0
LLC_ssap,5.0226043694071185e-05,0.015384615384615344,55,0.0,0
LLC_ctrl,3.7557827341577835e-05,2.692307692307682,62,0.0,0
EAPOL_version,0.000363778138364355,0.7316455696202542,43,0.0,0
EAPOL_type,0.00015152018381927782,3.1578947368421053,52,0.0,0
EAPOL_len,0.000170207302580677,125.90625620655427,46,0.0,0
IP_version,0.00011652786722829873,0.06040061633281972,54,0.0,0
IP_ihl,0.0003604551847646624,0.03837102220403152,48,0.0,0
IP_tos,0.0002773828367187881,352.7743040685225,49,0.0,0
IP_len,0.05284124417942507,473945.16174754745,4,0.0,1
IP_flags,0.0011058697921436807,1.2952276530671236,35,0.0,0
IP_Z,0.0,,69,0.0,0
IP_MF,0.0,,73,0.0,0
IP_id,0.03898978353786502,59538.76244559893,10,0.0,1
IP_DF,0.0010329353559066477,3.593148688046665,33,0.0,0
IP_frag,0.0,,67,0.0,0
IP_ttl,0.014252666510005268,11870.439632325446,23,0.0,1
IP_proto,0.0032214253540370445,107.50009425070688,32,0.0,0
IP_options,0.00011385659515158283,1.5789473684210527,51,0.0,0
ICMP_type,0.004645335604130051,804.4124352331607,26,0.0,0
ICMP_code,6.494140268128007e-05,1.2,60,0.0,0
ICMP_chksum,0.009384671163165154,4715708.928837565,18,0.0,0
ICMP_id,0.008172335837616305,1688804.8956392421,21,0.0,0
ICMP_seq,0.0021181131887564493,85.33846153846153,30,0.0,0
ICMP_ts_ori,0.0,,76,0.0,0
ICMP_ts_rx,0.0,,82,0.0,0
ICMP_ts_tx,0.0,,78,0.0,0
ICMP_ptr,0.0,,79,0.0,0
ICMP_reserved,0.0,,84,0.0,0
ICMP_length,0.0,,86,0.0,0
ICMP_nexthopmtu,0.0,,70,0.0,0
TCP_seq,0.053587459398653274,917509544.9863353,6,0.0,2
TCP_ack,0.02887616024727429,1435419071.4972649,13,0.0,2
TCP_dataofs,0.01788826733913737,60.77511368334022,20,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.006198719293851646,0.09913518434228492,25,0.0,0
TCP_FIN,0.0015193570069708812,42.32,38,0.0,0
TCP_SYN,0.0037940159021815946,3.4246575342465784,29,0.0,0
TCP_RST,0.0012328322838809798,0.06315789473684211,37,0.0,0
TCP_PSH,0.001231366539008001,18.3184,34,0.0,0
TCP_ACK,0.0035712556026968965,0.03121951219512195,31,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.030176005264809423,81846.2999730868,15,0.0,1
TCP_chksum,0.025381775404739022,147445.01077820474,17,0.0,1
TCP_urgptr,0.0,,74,0.0,0
TCP_options,0.0011743441976607306,5.067162389062147,39,0.0,0
UDP_len,0.020895136606184472,777.1974235183719,19,0.0,1
UDP_chksum,0.009548032852939084,844289.4588248666,22,0.0,0
DHCP_options,0.0007239181114461573,1.1636363636363618,42,0.0,0
BOOTP_op,0.000280549208642367,1.2746987951807218,58,0.0,0
BOOTP_htype,0.0003745644677417343,0.7506493506493497,59,0.0,0
BOOTP_hlen,0.00017806430480898008,4.503896103896104,64,0.0,0
BOOTP_hops,0.0,,72,0.0,0
BOOTP_xid,0.002381637062668302,49001862.44685507,28,0.0,1
BOOTP_secs,0.00017426707085024313,3.0,63,0.0,0
BOOTP_flags,0.0004552482376509279,0.04247787610619469,41,0.0,0
BOOTP_sname,6.629021130108303e-05,0.7506493506493497,47,0.0,0
BOOTP_file,0.00017065549634463805,0.7506493506493497,50,0.0,0
BOOTP_options,0.00015717588311191073,0.7506493506493497,53,0.0,0
DNS_length,0.0,,66,0.0,0
DNS_id,0.005313127480798978,938272.6747624343,24,0.0,0
DNS_qr,0.0006458435066293958,65.4,57,0.0,0
DNS_opcode,0.0,,80,0.0,0
DNS_aa,0.00024332003848386642,66.79999999999998,56,0.0,0
DNS_tc,0.0,,75,0.0,0
DNS_rd,0.0010449237449402197,2.773705179282865,36,0.0,0
DNS_ra,0.0,,71,0.0,0
DNS_z,0.0,,77,0.0,0
DNS_ad,0.0,,81,0.0,0
DNS_cd,0.0,,83,0.0,0
DNS_rcode,0.0,,85,0.0,0
DNS_qdcount,0.0008343138816153465,98.46153846153844,44,0.0,0
DNS_ancount,0.0003754166348798256,357.0,45,0.0,0
DNS_nscount,0.0002809052938702131,185.4,61,0.0,0
DNS_arcount,0.0,4.6,65,0.0,0
sport_class,0.04300888218700827,223.41616044871313,11,0.0,1
dport_class,0.03940868178819887,403.94481900586527,14,0.0,1
sport_bare,0.11675561533199995,13057458.784019193,1,0.0,2
dport_bare,0.06508509323516615,3932312.664638416,5,0.0,1
TCP_sport,0.08623875126921203,9495574.701218443,2,0.0,1
TCP_dport,0.05504827992728022,3253954.3918457516,9,0.0,1
UDP_sport,0.028322843099453095,3592704.858681159,12,0.0,1
UDP_dport,0.005856557486434643,771238.382694083,27,0.0,0
payload_bytes,0.051229325041464,563544.4831802293,8,0.0,1
entropy,0.07269010566475201,1084.442802043274,3,0.0,1
Protocol,0.025988689230452184,225.06989386487186,16,0.0,1
