Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.03640693448342001,40183.93179431315,6,0.0,1
Ether_type,0.00023318453511097075,67427.40775632617,45,0.0,0
LLC_dsap,0.0,,74,0.0,0
LLC_ssap,1.5706356861688605e-05,0.09999999999999994,62,0.0,0
LLC_ctrl,7.668084395530812e-05,17.499999999999982,61,0.0,0
EAPOL_version,0.00013893131365374622,3.6,47,0.0,0
EAPOL_type,4.108424752667281e-05,9.469565217391304,58,0.0,0
EAPOL_len,0.0002372893870606948,317.6344415795899,46,0.0,0
IP_version,0.00017767393642585907,0.7688364941055869,51,0.0,0
IP_ihl,0.00020174900830032184,0.8435155558581382,44,0.0,0
IP_tos,0.0011062230575773512,323.03776032775664,39,0.0,0
IP_len,0.03399108691256007,39418.052666538875,12,0.0,1
IP_flags,0.004690726283651568,2.1130926289076153,24,0.0,0
IP_Z,0.0,,80,0.0,0
IP_MF,0.0,,66,0.0,0
IP_id,0.0770403256264282,112554.10478513567,5,0.0,1
IP_DF,0.005112294372928638,4.543628076572491,26,0.0,0
IP_frag,0.0,,69,0.0,0
IP_ttl,0.007265692933109014,2374.78072598588,22,0.0,0
IP_proto,0.00045261563400522567,20.951148168926988,40,0.0,0
IP_options,0.0001228608500039714,0.9362831858407072,48,0.0,0
ICMP_type,4.4182132172026604e-05,38.599999999999994,60,0.0,0
ICMP_code,2.41786936424293e-05,1.3999999999999997,64,0.0,0
ICMP_chksum,4.107417672091693e-05,168826.99999999997,55,0.0,0
ICMP_id,3.56545092815528e-05,88962.6,63,0.0,0
ICMP_seq,4.637273760253581e-06,4.399999999999999,65,0.0,0
ICMP_ts_ori,0.0,,85,0.0,0
ICMP_ts_rx,0.0,,86,0.0,0
ICMP_ts_tx,0.0,,75,0.0,0
ICMP_ptr,0.0,,77,0.0,0
ICMP_reserved,0.0,,71,0.0,0
ICMP_length,0.0,,87,0.0,0
ICMP_nexthopmtu,0.0,,81,0.0,0
TCP_seq,0.08218676916828556,15528583343.382183,4,0.0,2
TCP_ack,0.059095883888237694,2693556024.291746,9,0.0,2
TCP_dataofs,0.010172444264504065,106.8567424606717,21,0.0,0
TCP_reserved,0.0,,70,0.0,0
TCP_flags,0.0075906682677073485,1.1533042300165588,23,0.0,0
TCP_FIN,0.002203234753388519,36.08975609756097,31,0.0,0
TCP_SYN,0.0011537947356177274,34.81068702290075,38,0.0,0
TCP_RST,0.0012166043874039033,5.654205607476638,35,0.0,0
TCP_PSH,0.0022605389063606227,54.75004574565415,33,0.0,0
TCP_ACK,0.0023925157964073494,0.02811586500132956,30,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.05177085429292996,547665.9258175734,7,0.0,1
TCP_chksum,0.04258666754654011,14383.523233839922,13,0.0,1
TCP_urgptr,0.0,,68,0.0,0
TCP_options,0.000551998789085898,0.03009872381410946,43,0.0,0
UDP_len,0.020413416898744943,4372.849822380106,16,0.0,1
UDP_chksum,0.06342225734507828,404550.44410772005,8,0.0,1
DHCP_options,0.000502738843121885,0.05077720207253855,42,0.0,0
BOOTP_op,0.00015586409392586348,0.19999999999999918,52,0.0,0
BOOTP_htype,0.00011066335826353511,0.020689655172413793,59,0.0,0
BOOTP_hlen,4.045572552528919e-05,0.12413793103448276,50,0.0,0
BOOTP_hops,0.0,,83,0.0,0
BOOTP_xid,0.0017188241416531366,1898579142.8056388,34,0.0,1
BOOTP_secs,6.700307779019862e-05,1.5999999999999999,57,0.0,0
BOOTP_flags,0.0008383875113034603,0.01443298969072165,36,0.0,0
BOOTP_sname,0.00013084528346572844,0.020689655172413793,53,0.0,0
BOOTP_file,0.00011429287243634009,0.020689655172413793,49,0.0,0
BOOTP_options,0.00016841021299071534,0.020689655172413793,56,0.0,0
DNS_length,0.0,,78,0.0,0
DNS_id,0.005170236403537929,262017.7030216538,28,0.0,0
DNS_qr,0.0015148862223155401,25.35,37,0.0,0
DNS_opcode,0.0,,67,0.0,0
DNS_aa,0.0011621753718788043,24.53379310344828,32,0.0,0
DNS_tc,0.0,,72,0.0,0
DNS_rd,0.0004782746481787391,3.385123966942154,41,0.0,0
DNS_ra,0.0,,76,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,73,0.0,0
DNS_cd,0.0,,82,0.0,0
DNS_rcode,0.0,,79,0.0,0
DNS_qdcount,0.005078380165855038,155.78201798201806,27,0.0,0
DNS_ancount,0.00945213980673057,359.96972833117724,19,0.0,0
DNS_nscount,0.00698205357855667,380.6341463414634,25,0.0,0
DNS_arcount,0.00014357700866093567,2.4,54,0.0,0
sport_class,0.017597392298812787,267.562999489883,18,0.0,1
dport_class,0.028643530079678393,482.8064805025188,11,0.0,1
sport_bare,0.10019810209676899,8691364.643663175,1,0.0,2
dport_bare,0.027170372112317175,11578135.124413475,14,0.0,1
TCP_sport,0.08948714659396684,12186659.28989023,2,0.0,1
TCP_dport,0.024665320424206227,12661571.691688571,17,0.0,1
UDP_sport,0.011250650804381243,154872.7504150323,20,0.0,1
UDP_dport,0.0040973529693762965,8319.058859522449,29,0.0,0
payload_bytes,0.047855825898194634,46962.67383709665,10,0.0,1
entropy,0.062371858595867226,144.31346885575022,3,0.0,1
Protocol,0.038354804191791436,4.765311956948287,15,0.0,1
