Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.0712875480962353,3548.598833664588,7,0.0,1
Ether_type,0.0017057581311752004,78866.38893726435,42,0.0,0
LLC_dsap,0.0,,68,0.0,0
LLC_ssap,4.923392955833222e-06,2.7999999999999994,64,0.0,0
LLC_ctrl,1.4759194864044097e-05,489.99999999999994,62,0.0,0
EAPOL_version,0.00015301520754620543,1.176470588235293,53,0.0,0
EAPOL_type,0.00015550077646039266,2.4,51,0.0,0
EAPOL_len,0.000402044587999293,84.79999999999987,48,0.0,0
IP_version,0.0020228267111520944,1.180952380952381,49,0.0,0
IP_ihl,0.004218715628985224,3.976658852308633,24,0.0,0
IP_tos,0.005623180372475101,22489.702886539017,30,0.0,0
IP_len,0.06059587447745295,3359.6077266092525,4,0.0,1
IP_flags,0.00662329193584657,3.2289967114752547,25,0.0,0
IP_Z,0.0,,78,0.0,0
IP_MF,0.0,,80,0.0,0
IP_id,0.07278551378954132,9957456.012305554,2,0.0,1
IP_DF,0.009512096110591499,6.945414687614198,27,0.0,0
IP_frag,0.0,,73,0.0,0
IP_ttl,0.018666672502677565,22845.38474727385,20,0.0,1
IP_proto,0.011101736032268801,2527.6378131791184,31,0.0,0
IP_options,0.002912768180646575,130.43478260869566,29,0.0,0
ICMP_type,0.0001734527664856326,32.599999999999994,61,0.0,0
ICMP_code,2.1382960360422882e-05,1.3999999999999997,65,0.0,0
ICMP_chksum,0.00013085917315455739,134668.8,52,0.0,0
ICMP_id,0.00020396494297541268,62751.799999999996,57,0.0,0
ICMP_seq,0.00013261839523397409,4.8,63,0.0,0
ICMP_ts_ori,0.0,,77,0.0,0
ICMP_ts_rx,0.0,,74,0.0,0
ICMP_ts_tx,0.0,,67,0.0,0
ICMP_ptr,0.0,,79,0.0,0
ICMP_reserved,0.0,,76,0.0,0
ICMP_length,0.0,,86,0.0,0
ICMP_nexthopmtu,0.0,,66,0.0,0
TCP_seq,0.02517707552232605,692595175413.4393,13,0.0,2
TCP_ack,0.020491072602417865,682548788364.7635,23,0.0,2
TCP_dataofs,0.015876710347930426,2353.070077405085,21,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.014467498697991361,834.367467354506,26,0.0,1
TCP_FIN,0.0014226944564870872,41.81416893732968,41,0.0,0
TCP_SYN,0.0010959044763856137,63.24423440453684,45,0.0,0
TCP_RST,0.00045209535080816427,20.799999999999997,47,0.0,0
TCP_PSH,0.0011892412094652602,95.4899135446686,43,0.0,0
TCP_ACK,0.00040144528084969447,319.5843786982247,37,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.02933513566569455,4474274.637221692,10,0.0,1
TCP_chksum,0.027365455649148055,12127198.59750244,12,0.0,1
TCP_urgptr,0.0,,81,0.0,0
TCP_options,0.009898332231349439,370.30047745358075,33,0.0,0
UDP_len,0.06502043582124699,104296.37774609555,3,0.0,1
UDP_chksum,0.036964812818738195,23042707.12052277,11,0.0,1
DHCP_options,0.00048302693894606343,11.150515463917518,55,0.0,0
BOOTP_op,0.000875254513569575,6.075,58,0.0,0
BOOTP_htype,0.0008384651494556344,4.350588235294115,59,0.0,0
BOOTP_hlen,0.0007554640156237614,26.103529411764708,56,0.0,0
BOOTP_hops,0.0,,82,0.0,0
BOOTP_xid,0.0009730833577397446,14223565439.745964,44,0.0,0
BOOTP_secs,0.001384658558191815,53.06315789473685,36,0.0,0
BOOTP_flags,0.000737456729807226,0.025654450261778646,39,0.0,0
BOOTP_sname,0.0003123151602726444,4.350588235294115,50,0.0,0
BOOTP_file,0.00028519376823757885,4.350588235294115,60,0.0,0
BOOTP_options,0.00016678435405485494,4.350588235294115,54,0.0,0
DNS_length,0.0,,70,0.0,0
DNS_id,0.002137242350040349,330199.6073286547,40,0.0,0
DNS_qr,0.004650551949897036,473.8580530973452,34,0.0,0
DNS_opcode,0.0,,72,0.0,0
DNS_aa,0.006182536055937107,464.02837127845896,35,0.0,0
DNS_tc,0.0,,75,0.0,0
DNS_rd,0.0009667829946666955,17.723076923076924,46,0.0,0
DNS_ra,0.0,,85,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,69,0.0,0
DNS_cd,0.0,,71,0.0,0
DNS_rcode,0.0,,83,0.0,0
DNS_qdcount,0.007992953031863951,249.18631677600763,32,0.0,0
DNS_ancount,0.017642107138524366,1493.3353564899455,18,0.0,1
DNS_nscount,0.010543963898971033,115.62620456466614,28,0.0,0
DNS_arcount,0.0023473737968474026,71.41951219512197,38,0.0,0
sport_class,0.026236738464778107,93.06014201266203,14,0.0,1
dport_class,0.02089898235907671,13.041725216261142,19,0.0,1
sport_bare,0.03239259748208261,3667386.968578225,6,0.0,1
dport_bare,0.02569293675389725,3870214.382037692,16,0.0,1
TCP_sport,0.032532064226083526,6190198.854755388,17,0.0,1
TCP_dport,0.018106809524697027,8404662.989162788,22,0.0,1
UDP_sport,0.023976162616833763,244982.22987271126,15,0.0,1
UDP_dport,0.02840924013664039,5141868.814699705,5,0.0,1
payload_bytes,0.062317807647089954,1951.252978728413,9,0.0,1
entropy,0.08292765881320144,976.8825030028843,1,0.0,2
Protocol,0.06962737471504968,187.46665920035875,8,0.0,1
