Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.05245978420388839,10486.702095785298,6,0.0,1
Ether_type,0.001480428346319446,67672.26881364301,34,0.0,0
LLC_dsap,0.0,,63,0.0,0
LLC_ssap,8.346721692836793e-05,0.40000000000000013,49,0.0,0
LLC_ctrl,0.0002063659352632287,70.00000000000004,53,0.0,0
EAPOL_version,0.001264620626759754,26.938823529411778,40,0.0,0
EAPOL_type,0.0005846040607090455,91.26666666666667,39,0.0,0
EAPOL_len,0.0013253555252800914,3194.4144100243648,37,0.0,0
IP_version,0.0007197770813718455,0.8129006248740017,38,0.0,0
IP_ihl,0.0063704189935094545,0.33298127700432073,23,0.0,0
IP_tos,0.005401738914517129,62272.8,24,0.0,0
IP_len,0.049776648071864014,11275.41439097458,10,0.0,1
IP_flags,0.004808745127218457,0.0013612850530897455,27,0.0,0
IP_Z,0.0,,80,0.0,0
IP_MF,0.0,,66,0.0,0
IP_id,0.06838002762250461,19135336.8,3,0.0,1
IP_DF,0.0049677077121735,0.1604916972180325,36,0.0,0
IP_frag,0.0,,60,0.0,0
IP_ttl,0.05582782200095372,0.1609890219362037,5,0.0,1
IP_proto,0.004774824996883425,2158.4454913507548,32,0.0,0
IP_options,0.0046228426775684036,327.20523560209426,31,0.0,0
ICMP_type,0.0003457887074006896,32.599999999999994,50,0.0,0
ICMP_code,3.209333215768603e-07,0.19999999999999998,68,0.0,0
ICMP_chksum,0.0002716629153386449,119103.99999999999,57,0.0,0
ICMP_id,0.000261446602936433,69604.99999999999,52,0.0,0
ICMP_seq,0.00018608540306015004,5.599999999999999,58,0.0,0
ICMP_ts_ori,0.0,,71,0.0,0
ICMP_ts_rx,0.0,,79,0.0,0
ICMP_ts_tx,0.0,,74,0.0,0
ICMP_ptr,0.0,,81,0.0,0
ICMP_reserved,0.0,,75,0.0,0
ICMP_length,0.0,,82,0.0,0
ICMP_nexthopmtu,0.0,,84,0.0,0
TCP_seq,0.006231006408445823,1239822321866.1997,25,0.0,1
TCP_ack,0.013128541192484022,1138488773191.3997,62,0.0,2
TCP_dataofs,0.0170550306698054,4200.799999999998,17,0.0,1
TCP_reserved,0.0,,73,0.0,0
TCP_flags,0.02003433658488069,1292.6495741398965,18,0.0,1
TCP_FIN,0.0,55.39999999999999,85,0.0,0
TCP_SYN,0.0,78.79999999999997,86,0.0,0
TCP_RST,0.0,15.999999999999996,87,0.0,0
TCP_PSH,0.0,164.59999999999997,77,0.0,0
TCP_ACK,0.004990058332065051,523.8,54,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.014414579326331412,5395694.4,42,0.0,1
TCP_chksum,0.017283953010893072,18964861.2,16,0.0,1
TCP_urgptr,0.0,,83,0.0,0
TCP_options,0.024576734813943523,585.9999999999999,11,0.0,1
UDP_len,0.04340687932027878,86900.8640674394,8,0.0,1
UDP_chksum,0.0820781868376352,38690694.573260196,2,0.0,1
DHCP_options,0.0008373919910115542,29.784615384615392,43,0.0,0
BOOTP_op,0.0008708874774040958,14.892307692307696,45,0.0,0
BOOTP_htype,0.00029672807233195245,17.472727272727273,46,0.0,0
BOOTP_hlen,0.00046294363709113424,104.83636363636363,51,0.0,0
BOOTP_hops,0.0,,64,0.0,0
BOOTP_xid,0.003752459675660043,86633594790.34633,28,0.0,1
BOOTP_secs,7.263368881558113e-05,1.9999999999999996,56,0.0,0
BOOTP_flags,0.003632279280120663,0.13319303615841188,33,0.0,0
BOOTP_sname,0.0004129732843645356,17.472727272727273,48,0.0,0
BOOTP_file,0.0012191847477734084,17.472727272727273,44,0.0,0
BOOTP_options,0.0005009984816784616,17.472727272727273,55,0.0,0
DNS_length,0.0,,61,0.0,0
DNS_id,0.0013628719875548568,222396.0,41,0.0,0
DNS_qr,0.0018497380455709952,63.97196261682245,35,0.0,0
DNS_opcode,0.0,,69,0.0,0
DNS_aa,0.0017339196353311852,62.016666666666666,30,0.0,0
DNS_tc,0.0,,67,0.0,0
DNS_rd,0.002068156537075669,34.39999999999999,47,0.0,0
DNS_ra,0.0,,70,0.0,0
DNS_z,0.0,,72,0.0,0
DNS_ad,0.0,,65,0.0,0
DNS_cd,0.0,,78,0.0,0
DNS_rcode,0.0,,76,0.0,0
DNS_qdcount,0.004643646523903673,56.85825242718451,29,0.0,0
DNS_ancount,0.016734828659972015,490.73019607843133,21,0.0,1
DNS_nscount,0.010288885388328017,34.38947368421053,26,0.0,0
DNS_arcount,5.461397576007141e-05,1.3999999999999997,59,0.0,0
sport_class,0.023536353604845087,37.605062668960436,15,0.0,1
dport_class,0.014790807832106916,21.60674833440791,22,0.0,1
sport_bare,0.03967836382938669,1518672.8231919017,13,0.0,1
dport_bare,0.029879127126828914,56926.98426837243,20,0.0,1
TCP_sport,0.03202345584375231,14475448.2,19,0.0,1
TCP_dport,0.020170843182543932,10249798.999999998,14,0.0,1
UDP_sport,0.042496526326799476,11119746.802156538,9,0.0,1
UDP_dport,0.02078893701000079,37475381.06183397,7,0.0,1
payload_bytes,0.0587459407908161,6812.00309391701,12,0.0,1
entropy,0.07186348424312071,427.8769977406881,1,0.0,2
Protocol,0.08791122894751782,338.69984355544256,4,0.0,1
